Player,Nationality,Team,Position,Age,Comp Level,Games,Games Starts,Minutes,Minutes 90S,Goals_Per90,Assists_Per90,Goals Pens_Per90,Pens Made_Per90,Pens Att_Per90,Cards Yellow_Per90,Cards Red_Per90,Xg_Per90,Npxg_Per90,Passes Completed_Per90,Passes_Per90,Passes Pct_Per90,Passes Total Distance_Per90,Passes Progressive Distance_Per90,Passes Completed Short_Per90,Passes Short_Per90,Passes Pct Short_Per90,Passes Completed Medium_Per90,Passes Completed Long_Per90,Passes Long_Per90,Passes Pct Long_Per90,Assisted Shots_Per90,Passes Into Final Third_Per90,Passes Into Penalty Area_Per90,Crosses Into Penalty Area_Per90,Progressive Passes_Per90,Shots On Target_Per90,Shots On Target Pct_Per90,Goals Per Shot_Per90,Goals Per Shot On Target_Per90,Average Shot Distance_Per90,Shots Free Kicks_Per90,Npxg Per Shot_Per90,Xg Net_Per90,Npxg Net_Per90,Passes Live_Per90,Passes Dead_Per90,Passes Free Kicks_Per90,Through Balls_Per90,Passes Switches_Per90,Crosses_Per90,Corner Kicks Straight_Per90,Throw Ins_Per90,Passes Offsides_Per90,Passes Blocked_Per90,Sca_Per90,Sca Passes Live_Per90,Sca Passes Dead_Per90,Sca Dribbles_Per90,Sca Shots_Per90,Sca Fouled_Per90,Sca Defense_Per90,Gca_Per90,Gca Passes Live_Per90,Gca Passes Dead_Per90,Gca Dribbles_Per90,Gca Shots_Per90,Gca Fouled_Per90,Gca Defense_Per90,Tackles_Per90,Tackles Won_Per90,Tackles Def 3Rd_Per90,Tackles Mid 3Rd_Per90,Tackles Att 3Rd_Per90,Dribble Tackles_Per90,Dribbles Vs_Per90,Dribble Tackles Pct_Per90,Dribbled Past_Per90,Blocks_Per90,Blocked Shots_Per90,Blocked Passes_Per90,Interceptions_Per90,Tackles Interceptions_Per90,Clearances_Per90,Errors_Per90,Touches_Per90,Touches Def Pen Area_Per90,Touches Def 3Rd_Per90,Touches Mid 3Rd_Per90,Touches Att 3Rd_Per90,Touches Att Pen Area_Per90,Touches Live Ball_Per90,Dribbles Completed_Per90,Dribbles_Per90,Dribbles Completed Pct_Per90,Miscontrols_Per90,Dispossessed_Per90,Passes Received_Per90,Progressive Passes Received_Per90
Tom Ince, ENG,Stoke City,"MF,DF",29.0,Championship,26,19.0,449,19.8,0.25,0.05,0.25,0.0,0.0,0.25,0.0,0.2,0.2,22.02,31.36,7.39,357.68,113.84,12.22,14.44,8.65,6.57,2.47,5.25,5.58,1.26,1.77,1.06,0.35,2.22,0.56,2.76,0.02,0.06,1.86,0.05,0.01,0.06,0.06,28.59,2.73,0.86,0.0,0.3,3.79,0.0,0.4,0.05,1.21,2.98,1.92,0.35,0.25,0.2,0.25,0.0,0.25,0.15,0.05,0.0,0.0,0.05,0.0,1.57,0.81,0.51,0.66,0.4,0.25,0.91,2.57,0.66,1.41,0.05,1.36,0.81,2.37,0.61,0.0,43.79,0.91,6.97,17.63,19.55,3.28,43.79,1.11,2.53,4.82,3.03,1.77,27.17,3.13
Tom Lacoux,FRA,Bordeaux,"DF,MF",19.0,Ligue 1,13,11.0,907,10.1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.01,0.01,32.28,41.98,7.61,526.73,175.74,14.95,17.72,8.36,13.07,2.77,4.75,5.77,0.3,1.58,0.0,0.0,1.98,0.0,0.0,0.0,0.0,2.92,0.0,0.0,-0.01,-0.01,35.94,5.94,0.2,0.3,0.89,0.69,0.0,5.74,0.1,1.39,1.29,0.79,0.1,0.0,0.0,0.2,0.2,0.3,0.1,0.1,0.0,0.0,0.0,0.1,1.78,1.29,1.09,0.5,0.2,0.89,2.38,3.71,1.49,1.39,0.4,0.99,0.89,2.67,1.98,0.1,51.19,3.47,17.52,27.23,7.03,0.1,51.19,0.79,1.39,5.65,1.78,0.79,27.72,0.79
Tom Lawrence, WAL,Derby County,"FW,MF",27.0,Championship,38,37.0,3223,35.8,0.31,0.14,0.2,0.11,0.11,0.31,0.06,0.34,0.25,28.38,36.26,2.19,409.22,88.27,16.93,19.11,2.47,7.57,2.07,4.27,1.35,1.45,2.29,0.92,0.11,2.09,0.95,0.98,0.0,0.01,0.63,0.42,0.0,-0.03,-0.05,32.71,3.27,1.2,0.2,0.36,2.32,0.06,0.17,0.28,0.61,3.55,2.09,0.39,0.36,0.36,0.31,0.03,0.5,0.28,0.03,0.11,0.03,0.06,0.0,1.01,0.56,0.31,0.45,0.25,0.5,1.28,1.09,0.78,1.15,0.2,0.95,0.64,1.65,0.64,0.0,47.82,1.01,5.61,22.6,20.14,2.68,47.71,1.31,2.63,1.4,2.57,0.81,33.24,3.8
Tom Lees, ENG,Huddersfield,DF,30.0,Championship,40,39.0,3421,38.0,0.08,0.0,0.08,0.0,0.0,0.11,0.0,0.07,0.07,49.74,59.13,2.21,956.03,341.26,16.87,19.08,2.33,26.61,5.5,8.37,1.73,0.18,2.08,0.11,0.03,2.08,0.24,1.25,0.0,0.01,0.24,0.0,0.0,0.01,0.01,56.55,2.34,1.71,0.03,0.24,0.05,0.0,0.21,0.24,0.16,0.68,0.53,0.03,0.0,0.13,0.0,0.0,0.05,0.0,0.03,0.0,0.03,0.0,0.0,0.92,0.53,0.61,0.29,0.03,0.34,0.47,1.9,0.13,1.13,0.87,0.26,1.16,2.08,5.47,0.03,69.34,10.47,38.21,29.74,1.84,0.82,69.34,0.05,0.08,1.76,0.32,0.11,42.63,0.18
Tom Lockyer, WAL,Luton Town,DF,26.0,Championship,29,27.0,2425,26.9,0.04,0.04,0.04,0.0,0.0,0.19,0.0,0.08,0.08,26.91,43.57,2.3,579.85,284.8,9.0,11.52,2.9,12.71,4.8,12.42,1.43,0.19,2.75,0.3,0.0,2.3,0.11,0.7,0.0,0.01,0.38,0.0,0.01,-0.04,-0.04,40.93,2.34,1.12,0.0,0.41,0.48,0.0,1.19,0.3,0.67,0.71,0.52,0.0,0.0,0.11,0.04,0.04,0.15,0.11,0.0,0.0,0.04,0.0,0.0,1.38,0.86,0.97,0.41,0.0,0.63,1.19,1.97,0.56,0.89,0.63,0.26,1.82,3.2,3.83,0.07,53.83,5.95,29.74,20.59,3.75,1.08,53.83,0.11,0.22,1.86,0.56,0.11,23.53,0.26
Tom McIntyre, SCO,Reading,"DF,MF",22.0,Championship,19,18.0,1618,18.0,0.11,0.0,0.11,0.0,0.0,0.06,0.0,0.1,0.1,40.78,55.39,4.09,719.0,290.67,16.61,19.5,4.73,19.44,3.61,8.22,2.44,0.28,2.44,0.56,0.5,1.94,0.22,1.48,0.01,0.03,0.88,0.0,0.01,0.01,0.01,47.22,8.06,0.72,0.06,0.17,1.39,0.0,7.33,0.11,1.11,1.22,0.67,0.11,0.0,0.28,0.11,0.06,0.11,0.0,0.06,0.0,0.06,0.0,0.0,1.44,0.83,0.94,0.39,0.11,0.89,1.22,4.04,0.33,1.11,0.44,0.67,2.11,3.56,3.11,0.0,65.44,4.11,27.67,29.39,9.28,1.0,65.44,0.33,0.56,3.33,1.0,0.22,34.78,0.56
Tom Rothe,GER,Dortmund,DF,16.0,Bundesliga,2,1.0,94,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,40.0,54.0,74.1,574.0,202.0,23.0,27.0,85.2,16.0,1.0,5.0,20.0,1.0,1.0,0.0,0.0,2.0,1.0,50.0,0.5,1.0,12.9,0.0,0.12,0.8,0.8,43.0,11.0,2.0,0.0,0.0,5.0,0.0,9.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,0.0,3.0,6.0,50.0,3.0,2.0,0.0,2.0,2.0,6.0,3.0,0.0,70.0,2.0,20.0,29.0,21.0,2.0,70.0,1.0,3.0,33.3,0.0,0.0,40.0,4.0
Tom Sparrow, WAL,Stoke City,FW,18.0,Championship,1,1.0,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,31.0,80.6,364.0,114.0,16.0,19.0,84.2,6.0,2.0,5.0,40.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,7.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,40.0,2.0,6.0,24.0,12.0,1.0,40.0,0.0,2.0,0.0,3.0,0.0,21.0,0.0
Toma Bašić,CRO,LazioBordeaux,MF,24.0,Serie A,32,12.0,982209,10.9,0.0,0.28,0.0,0.0,0.0,0.28,0.0,0.17,0.17,41.56,50.09,14.32,633.67,123.3,22.2,24.4,16.61,15.14,2.57,4.68,9.95,1.01,2.48,0.18,0.09,2.02,1.01,6.31,0.0,0.0,4.49,0.28,0.02,-0.17,-0.17,47.71,2.29,0.73,0.09,0.09,3.03,0.0,0.0,0.09,0.64,1.38,0.64,0.37,0.18,0.18,0.0,0.0,0.37,0.09,0.18,0.0,0.09,0.0,0.0,1.28,0.92,0.37,0.83,0.09,0.46,1.93,2.7,1.47,1.56,0.46,1.1,0.55,1.83,1.93,0.0,62.39,2.57,10.37,35.69,16.79,2.48,62.39,0.73,1.65,6.88,1.93,0.55,44.68,3.85
Tommaso Augello,ITA,Sampdoria,DF,26.0,Serie A,36,25.0,2395,26.6,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.02,0.02,39.47,51.43,2.89,679.89,280.6,17.74,20.26,3.29,17.97,2.93,5.9,1.87,0.64,2.26,1.24,0.56,3.12,0.08,1.08,0.01,0.02,0.69,0.0,0.0,0.02,0.02,41.13,10.19,1.28,0.04,0.11,2.78,0.0,8.76,0.11,1.8,1.84,1.28,0.15,0.19,0.04,0.11,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,1.35,0.75,0.83,0.3,0.23,0.64,1.09,2.2,0.45,0.71,0.15,0.56,1.09,2.44,2.56,0.04,59.4,3.65,22.89,23.35,13.98,0.53,59.4,0.86,1.65,1.97,1.09,0.49,33.42,1.32
Tommaso Baldanzi,ITA,Empoli,FW,18.0,Serie A,1,0.0,18,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,30.0,416.5,175.0,0.0,20.0,20.0,500.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,10.0,40.0,0.0,50.0,0.0,0.0,0.0,10.0,0.0,40.0,5.0
Tommaso De Nipoti,ITA,Atalanta,FW,18.0,Serie A,1,0.0,6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,1000.0,100.0,0.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0
Tommaso Pobega,ITA,Torino,MF,22.0,Serie A,33,24.0,2240,24.9,0.16,0.08,0.16,0.0,0.0,0.44,0.0,0.15,0.15,36.87,47.15,3.14,615.22,183.41,18.23,22.09,3.31,14.9,3.13,4.62,2.72,0.96,4.94,0.68,0.04,3.53,0.32,0.67,0.0,0.02,0.78,0.0,0.0,0.01,0.01,46.47,0.56,0.48,0.0,0.36,0.64,0.0,0.04,0.12,1.04,2.53,2.09,0.0,0.0,0.16,0.24,0.04,0.16,0.08,0.0,0.0,0.04,0.04,0.0,1.93,1.2,0.68,0.8,0.44,0.84,1.61,2.11,0.76,1.29,0.12,1.16,1.0,2.93,1.53,0.0,59.36,1.93,9.2,35.3,15.5,2.21,59.36,0.56,1.08,2.08,1.81,0.64,39.72,2.25
Tommy Conway,  ,Bristol City,"MF,DF",0.0,Championship,4,0.0,29,0.3,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.67,60.0,259.33,606.67,96.67,26.67,30.0,296.33,16.67,0.0,3.33,0.0,3.33,3.33,0.0,0.0,3.33,0.0,0.0,0.0,0.0,83.33,0.0,0.1,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,3.33,0.0,0.0,0.0,0.0,0.0,3.33,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,6.67,16.67,56.67,10.0,80.0,0.0,0.0,0.0,10.0,3.33,56.67,20.0
Tommy Smith, ENG,Stoke City,DF,29.0,Championship,32,30.0,2684,29.8,0.03,0.2,0.03,0.0,0.0,0.2,0.03,0.03,0.03,35.3,49.16,2.41,639.63,249.7,16.88,19.5,2.91,13.89,4.09,9.73,1.41,1.04,3.29,1.14,0.5,3.59,0.13,1.03,0.0,0.01,0.68,0.0,0.0,0.01,0.01,39.9,9.09,1.61,0.07,0.23,3.89,0.0,7.28,0.17,0.91,1.88,1.31,0.47,0.0,0.0,0.07,0.03,0.23,0.1,0.13,0.0,0.0,0.0,0.0,1.61,0.81,0.7,0.54,0.37,0.81,1.41,1.92,0.6,1.14,0.17,0.97,0.94,2.55,1.85,0.0,57.18,2.62,13.62,25.77,18.22,1.04,57.18,0.07,0.37,0.61,1.01,0.4,32.62,2.15
Tommy St. Jago, NED,Utrecht,DF,21.0,Eredivisie,3,2.0,198,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.55,59.09,34.27,928.64,341.82,13.64,16.82,36.86,24.55,5.91,12.27,21.86,0.0,1.82,0.0,0.0,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.91,2.73,2.73,0.0,0.45,0.91,0.0,0.0,0.45,0.45,0.45,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.91,1.36,0.45,0.0,0.91,1.82,22.73,0.91,3.18,2.27,0.91,0.91,2.73,3.64,0.0,70.91,10.91,38.64,30.0,2.73,1.36,70.91,1.36,1.36,45.45,0.0,0.0,40.45,0.45
Tommy Thompson, USA,San Jose,DF,26.0,MLS,27,14.0,1322,14.7,0.07,0.14,0.07,0.0,0.0,0.07,0.0,0.07,0.07,46.73,55.65,5.71,740.2,223.2,24.49,26.87,6.2,18.71,2.59,3.88,4.54,0.82,2.79,0.82,0.2,3.33,0.14,1.24,0.01,0.03,0.86,0.0,0.01,-0.01,-0.01,46.05,9.52,0.68,0.07,0.14,1.16,0.0,8.84,0.07,1.02,2.72,2.31,0.0,0.14,0.14,0.14,0.0,0.34,0.2,0.0,0.0,0.07,0.07,0.0,1.56,0.95,0.82,0.54,0.2,1.22,1.97,4.22,0.75,1.02,0.27,0.75,1.43,2.99,0.88,0.0,63.67,3.33,16.19,30.54,17.55,2.93,63.67,0.82,1.5,3.71,1.22,0.54,39.25,2.52
Tomás Alarcón,CHI,Cádiz,MF,22.0,La Liga,23,16.0,1425,15.8,0.0,0.06,0.0,0.0,0.0,0.32,0.0,0.08,0.08,25.19,36.2,4.41,504.87,150.95,10.06,12.22,5.22,8.8,5.19,9.05,3.63,0.89,2.59,0.44,0.25,2.41,0.13,0.84,0.0,0.0,1.53,0.0,0.01,-0.08,-0.08,31.84,4.11,1.84,0.13,0.95,4.05,0.0,0.19,0.25,1.14,1.77,0.89,0.76,0.06,0.0,0.0,0.06,0.13,0.0,0.13,0.0,0.0,0.0,0.0,1.96,1.27,1.08,0.63,0.25,0.63,1.96,2.04,1.33,1.2,0.44,0.76,1.9,3.86,1.96,0.0,46.96,3.48,13.8,23.23,10.38,0.57,46.96,0.25,0.51,3.16,0.95,0.63,22.72,0.76
Tomás Araújo, POR,Benfica,DF,19.0,Primeira Liga,3,1.0,96,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,50.0,55.45,82.0,993.64,351.82,15.45,16.36,85.82,29.09,4.55,8.18,50.55,0.0,1.82,0.0,0.0,2.73,0.0,0.0,0.0,0.0,7.73,0.0,0.05,-0.09,-0.09,51.82,3.64,3.64,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.91,2.73,0.0,2.73,0.0,0.0,4.55,0.0,63.64,9.09,37.27,25.45,0.91,0.91,63.64,0.91,0.91,90.91,0.0,0.0,46.36,0.0
Tomás Castro, POR,B-SAD,MF,22.0,Primeira Liga,4,0.0,53,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.67,60.0,101.83,445.0,191.67,16.67,21.67,128.17,10.0,1.67,5.0,55.5,1.67,1.67,1.67,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,1.67,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,5.0,3.33,1.67,1.67,3.33,8.33,66.67,5.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,70.0,0.0,18.33,33.33,18.33,0.0,70.0,1.67,1.67,166.67,1.67,1.67,43.33,0.0
Tomás Costa Silva, POR,Vizela,"FW,MF",21.0,Primeira Liga,5,0.0,39,0.4,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.75,0.75,27.5,47.5,144.75,302.5,55.0,22.5,35.0,160.75,5.0,0.0,5.0,0.0,0.0,2.5,0.0,0.0,2.5,2.5,125.0,0.0,0.0,23.75,0.0,0.32,-0.75,-0.75,47.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,2.5,5.0,7.5,0.0,0.0,67.5,2.5,12.5,22.5,32.5,7.5,67.5,0.0,2.5,0.0,0.0,0.0,47.5,5.0
Tomás Cuello, ARG,Atl Paranaense,FW,21.0,Brasileiro Serie A,31,19.0,1616,18.0,0.11,0.22,0.11,0.0,0.0,0.33,0.06,0.13,0.13,25.5,36.28,3.91,426.28,117.5,13.83,16.89,4.55,8.33,2.61,5.22,2.78,1.61,2.28,1.11,0.28,3.28,0.61,1.22,0.0,0.01,1.34,0.17,0.0,-0.02,-0.02,33.0,3.06,0.67,0.11,0.5,4.11,0.06,1.33,0.22,1.06,4.11,2.94,0.33,0.39,0.22,0.11,0.11,0.39,0.33,0.06,0.0,0.0,0.0,0.0,2.44,1.39,1.17,0.94,0.33,0.89,2.22,2.22,1.33,0.83,0.11,0.72,0.67,3.11,0.56,0.0,51.44,0.78,7.39,22.5,23.33,2.17,51.44,2.11,4.22,2.78,3.28,1.56,34.11,4.0
Tomás Händel, POR,Vitória,MF,20.0,Primeira Liga,16,14.0,1036,11.5,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.03,0.03,36.7,44.7,7.14,668.87,160.43,15.83,18.7,7.37,15.48,4.35,5.91,6.39,0.17,2.78,0.0,0.0,2.26,0.17,2.17,0.0,0.0,1.68,0.0,0.0,-0.03,-0.03,43.04,1.39,1.39,0.0,0.61,0.17,0.0,0.0,0.26,0.61,0.96,0.96,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.87,0.35,0.17,0.7,0.0,0.52,1.74,2.61,1.22,0.78,0.17,0.61,1.13,2.0,1.48,0.0,51.74,1.91,12.26,34.43,5.39,0.61,51.74,0.43,0.61,6.21,0.87,0.17,32.0,0.7
Tomás Mendes,ESP,Alavés,MF,16.0,La Liga,1,0.0,9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,50.0,800.0,910.0,90.0,10.0,20.0,500.0,20.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,60.0,10.0,10.0,50.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
Tomás Pina Isla,ESP,Alavés,MF,33.0,La Liga,29,16.0,1444,16.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.02,0.02,28.44,36.62,4.85,429.94,125.31,16.06,18.75,5.36,10.44,1.25,2.31,3.38,0.12,2.88,0.06,0.0,1.69,0.06,1.25,0.0,0.0,1.49,0.0,0.0,-0.02,-0.02,36.25,0.19,0.12,0.06,0.25,0.31,0.0,0.06,0.19,0.94,1.0,0.69,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.0,0.81,0.69,0.25,0.88,1.81,3.02,0.94,0.75,0.19,0.56,1.38,3.12,1.44,0.0,45.0,2.31,11.25,26.88,7.31,0.81,45.0,0.25,0.44,3.57,0.81,0.38,23.75,0.69
Tomás Reymão, POR,Boavista,MF,23.0,Primeira Liga,12,3.0,344,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,34.21,43.16,20.87,557.63,213.95,16.58,18.68,23.34,12.63,3.16,5.53,15.03,0.0,2.11,0.26,0.26,3.42,0.0,0.0,0.0,0.0,8.42,0.0,0.01,-0.03,-0.03,41.05,1.32,1.32,0.0,0.26,0.53,0.0,0.0,0.79,0.0,0.53,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63,1.32,1.05,1.32,0.26,1.32,3.16,10.97,1.84,0.53,0.0,0.53,2.11,4.74,1.58,0.0,55.0,3.95,20.0,30.0,5.26,0.0,55.0,0.26,0.53,13.16,2.11,1.05,30.79,1.05
Tomás Ribeiro, POR,B-SAD,DF,22.0,Primeira Liga,17,17.0,1530,17.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.04,0.04,42.0,52.76,4.68,875.12,328.18,13.06,14.76,5.2,22.47,6.06,11.59,3.08,0.29,2.41,0.12,0.0,2.12,0.12,1.31,0.0,0.0,1.01,0.0,0.0,-0.04,-0.04,46.18,6.29,3.47,0.0,1.47,0.35,0.0,2.65,0.29,0.18,1.06,0.82,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.47,0.76,0.29,0.06,0.65,1.12,3.41,0.47,1.47,0.88,0.59,1.59,2.71,5.18,0.06,63.82,8.59,33.24,27.41,3.71,1.06,63.82,0.29,0.35,4.9,0.47,0.06,36.59,0.35
Tomás Rincón,VEN,TorinoSampdoria,MF,33.0,Serie A,24,14.0,1631166,1.8,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.11,0.11,307.22,369.44,91.83,5395.0,1586.67,143.33,163.33,94.39,122.78,36.11,49.44,82.06,3.33,31.11,3.33,0.0,22.78,0.56,27.78,0.0,0.0,4.94,0.0,0.07,-0.11,-0.11,359.44,8.33,6.67,2.22,4.44,3.33,0.0,1.11,1.67,5.56,8.89,7.22,0.56,0.0,0.0,1.11,0.0,0.56,0.56,0.0,0.0,0.0,0.0,0.0,13.33,8.33,6.11,5.56,1.67,7.22,20.56,21.22,13.33,10.0,1.67,8.33,11.11,24.44,8.33,0.0,438.89,16.11,110.56,270.56,64.44,3.33,438.89,10.56,12.22,102.33,8.33,7.22,300.0,8.33
Tomáš Hájek, CZE,Vitesse,DF,29.0,Eredivisie,21,10.0,911,10.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.04,0.04,32.38,44.06,7.28,584.95,248.02,13.86,16.63,8.25,14.26,3.27,6.83,4.73,0.4,2.18,0.3,0.1,2.38,0.1,1.24,0.0,0.0,1.99,0.0,0.0,-0.04,-0.04,40.3,3.66,1.39,0.2,0.2,0.69,0.0,2.08,0.1,0.89,1.09,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57,1.49,1.68,0.89,0.0,1.19,2.38,4.95,1.19,1.29,0.59,0.69,1.29,3.86,4.46,0.0,57.72,6.14,30.69,21.68,5.54,0.59,57.72,0.1,0.4,2.48,1.39,0.2,27.33,0.89
Tomáš Kalas, CZE,Bristol City,DF,28.0,Championship,35,34.0,3072,34.1,0.0,0.03,0.0,0.0,0.0,0.15,0.0,0.02,0.02,29.74,43.17,2.02,595.4,234.87,10.62,12.9,2.41,14.05,4.63,10.06,1.35,0.26,1.52,0.15,0.09,1.58,0.06,0.39,0.0,0.0,0.43,0.0,0.0,-0.02,-0.02,37.1,5.98,0.67,0.03,0.21,0.62,0.0,5.31,0.09,0.32,0.62,0.29,0.32,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.53,0.35,0.26,0.21,0.06,0.23,0.62,1.12,0.38,1.29,1.0,0.29,2.05,2.58,4.72,0.06,53.55,7.36,26.83,21.06,6.01,0.94,53.55,0.15,0.26,1.63,0.53,0.09,23.52,0.18
Tomáš Ostrák,CZE,Köln,"MF,FW",21.0,Bundesliga,5,0.0,31,0.3,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.33,0.33,33.33,50.0,222.33,546.67,280.0,10.0,10.0,333.33,20.0,0.0,3.33,0.0,6.67,3.33,10.0,6.67,6.67,0.0,0.0,0.0,0.0,53.33,0.0,0.1,-0.33,-0.33,46.67,3.33,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.67,10.0,10.0,0.0,0.0,0.0,0.0,0.0,3.33,3.33,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,3.33,3.33,10.0,111.0,6.67,0.0,0.0,0.0,3.33,6.67,0.0,0.0,76.67,0.0,16.67,20.0,40.0,10.0,76.67,6.67,6.67,333.33,6.67,10.0,50.0,6.67
Tomáš Souček,CZE,West Ham,MF,26.0,Premier League,35,34.0,3062,34.0,0.15,0.03,0.15,0.0,0.0,0.09,0.0,0.17,0.15,30.47,40.03,2.24,510.12,130.53,15.0,18.76,2.35,11.85,2.68,3.94,2.0,0.62,3.09,0.35,0.06,2.79,0.32,0.72,0.0,0.01,0.38,0.0,0.0,-0.02,0.0,39.32,0.71,0.59,0.0,0.62,0.38,0.0,0.12,0.0,1.0,1.24,1.06,0.0,0.0,0.09,0.06,0.03,0.12,0.12,0.0,0.0,0.0,0.0,0.0,1.94,0.94,0.79,0.97,0.18,0.82,1.91,1.27,1.09,1.0,0.38,0.62,1.53,3.47,2.88,0.03,51.12,4.35,13.62,28.15,9.76,2.44,51.12,0.29,0.47,1.84,1.18,0.47,29.97,1.29
